===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2019-09-30 00:11:12
count workspace : /home/jeremias/SGIColegio
total files : 426
total code lines : 195112
total comment lines : 12327
total blank lines : 14254

.editorconfig, code is 11, comment is 1, blank is 2.
client/src/app/servicios/planEstudio/plan-estudio.service.spec.ts, code is 9, comment is 0, blank is 3.
client/src/app/servicios/planEstudio/plan-estudio.service.ts, code is 50, comment is 8, blank is 11.
client/src/assets/.gitkeep, code is 0, comment is 0, blank is 0.
client/src/assets/404.png, it is a binary file.
client/src/assets/css/custom.css, code is 0, comment is 1, blank is 0.
client/src/assets/css/fontastic.css, code is 116, comment is 0, blank is 31.
client/src/assets/css/grasp_mobile_progress_circle-1.0.0.min.css, code is 1, comment is 0, blank is 0.
client/src/assets/css/style.blue.css, code is 2435, comment is 151, blank is 536.
client/src/assets/css/style.default.css, code is 2437, comment is 152, blank is 536.
client/src/assets/fonts/dashboard.eot, it is a binary file.
client/src/assets/fonts/dashboard.svg, code is 65, comment is 0, blank is 1.
client/src/assets/fonts/dashboard.ttf, it is a binary file.
client/src/assets/fonts/dashboard.woff, it is a binary file.
client/src/assets/icons-reference/fonts/dashboard.eot, it is a binary file.
client/src/assets/icons-reference/fonts/dashboard.svg, code is 65, comment is 0, blank is 1.
client/src/assets/icons-reference/fonts/dashboard.ttf, it is a binary file.
client/src/assets/icons-reference/fonts/dashboard.woff, it is a binary file.
client/src/assets/icons-reference/icons-reference.html, code is 421, comment is 0, blank is 29.
client/src/assets/icons-reference/styles.css, code is 116, comment is 0, blank is 31.
client/src/assets/js/front.js, code is 50, comment is 21, blank is 15.
client/src/assets/json/departamentos.json, code is 8466, comment is 0, blank is 0.
client/src/assets/json/localidades-censales.json, code is 81100, comment is 0, blank is 0.
client/src/assets/json/municipios.json, code is 29026, comment is 0, blank is 0.
client/src/assets/json/provincias.json, code is 314, comment is 0, blank is 0.
client/src/assets/logo.ico, it is a binary file.
client/src/assets/profile.jpeg, it is a binary file.
client/src/assets/sgicolegio.png, it is a binary file.
client/src/assets/vendor/bootstrap/css/bootstrap-grid.css, code is 3511, comment is 7, blank is 890.
client/src/assets/vendor/bootstrap/css/bootstrap-grid.min.css, code is 1, comment is 7, blank is 0.
client/src/assets/vendor/bootstrap/css/bootstrap-reboot.css, code is 257, comment is 8, blank is 55.
client/src/assets/vendor/bootstrap/css/bootstrap-reboot.min.css, code is 1, comment is 8, blank is 0.
client/src/assets/vendor/bootstrap/css/bootstrap.css, code is 8693, comment is 7, blank is 1965.
client/src/assets/vendor/bootstrap/css/bootstrap.min.css, code is 1, comment is 7, blank is 0.
client/src/assets/vendor/bootstrap/js/bootstrap.bundle.js, code is 4324, comment is 1418, blank is 1107.
client/src/assets/vendor/bootstrap/js/bootstrap.bundle.min.js, code is 1, comment is 6, blank is 0.
client/src/assets/vendor/bootstrap/js/bootstrap.js, code is 3098, comment is 389, blank is 794.
client/src/assets/vendor/bootstrap/js/bootstrap.min.js, code is 1, comment is 6, blank is 0.
client/src/assets/vendor/font-awesome/css/font-awesome.css, code is 2327, comment is 10, blank is 712.
client/src/assets/vendor/font-awesome/css/font-awesome.min.css, code is 1, comment is 4, blank is 0.
client/src/assets/vendor/font-awesome/fonts/fontawesome-webfont.eot, it is a binary file.
client/src/assets/vendor/font-awesome/fonts/fontawesome-webfont.svg, code is 1442, comment is 0, blank is 0.
client/src/assets/vendor/font-awesome/fonts/fontawesome-webfont.ttf, it is a binary file.
client/src/assets/vendor/font-awesome/fonts/fontawesome-webfont.woff, it is a binary file.
client/src/assets/vendor/font-awesome/fonts/fontawesome-webfont.woff2, it is a binary file.
client/src/assets/vendor/font-awesome/fonts/FontAwesome.otf, it is a binary file.
client/src/assets/vendor/font-awesome/HELP-US-OUT.txt, code is 1, comment is 0, blank is 0.
client/src/assets/vendor/jquery-validation/additional-methods.js, code is 573, comment is 387, blank is 116.
client/src/assets/vendor/jquery-validation/additional-methods.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/jquery.validate.js, code is 774, comment is 126, blank is 148.
client/src/assets/vendor/jquery-validation/jquery.validate.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_ar.js, code is 30, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_ar.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_az.js, code is 30, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_az.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_bg.js, code is 30, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_bg.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_bn_BD.js, code is 30, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_bn_BD.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_ca.js, code is 30, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_ca.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_cs.js, code is 31, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_cs.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_da.js, code is 41, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_da.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_de.js, code is 77, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_de.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_el.js, code is 30, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_el.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_es.js, code is 33, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_es.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_es_AR.js, code is 33, comment is 5, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_es_AR.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_es_PE.js, code is 33, comment is 5, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_es_PE.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_et.js, code is 28, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_et.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_eu.js, code is 30, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_eu.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_fa.js, code is 34, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_fa.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_fi.js, code is 28, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_fi.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_fr.js, code is 58, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_fr.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_ge.js, code is 29, comment is 5, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_ge.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_gl.js, code is 35, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_gl.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_he.js, code is 30, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_he.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_hr.js, code is 30, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_hr.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_hu.js, code is 30, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_hu.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_hy_AM.js, code is 30, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_hy_AM.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_id.js, code is 29, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_id.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_is.js, code is 28, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_is.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_it.js, code is 34, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_it.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_ja.js, code is 31, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_ja.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_ka.js, code is 30, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_ka.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_kk.js, code is 30, comment is 4, blank is 1.
client/src/assets/vendor/jquery-validation/localization/messages_kk.min.js, code is 1, comment is 3, blank is 0.
client/src/assets/vendor/jquery-validation/localization/messages_ko.js, code is 30, comment is 4, blank is 1.
